"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","264","Create file with empty directory","LMS Service","Fri Aug 08 15:32:58 GMT 2025","passed","Fri Aug 08 15:32:58 GMT 2025","Validate entity","Files","",""
"","32","Get courses","LMS Service","Fri Aug 08 15:32:51 GMT 2025","passed","Fri Aug 08 15:32:51 GMT 2025","Get entities","Courses","",""
"","557","Create user","LMS Service","Fri Aug 08 15:32:59 GMT 2025","passed","Fri Aug 08 15:33:00 GMT 2025","Create entity","Users","",""
"","257","Create file with empty filename","LMS Service","Fri Aug 08 15:32:57 GMT 2025","passed","Fri Aug 08 15:32:57 GMT 2025","Validate entity","Files","",""
"","308","Update course","LMS Service","Fri Aug 08 15:32:52 GMT 2025","passed","Fri Aug 08 15:32:53 GMT 2025","Create entity","Courses","",""
"","268","Create file","LMS Service","Fri Aug 08 15:32:56 GMT 2025","passed","Fri Aug 08 15:32:56 GMT 2025","Create entity","Files","",""
"","14","Get exercise","LMS Service","Fri Aug 08 15:32:54 GMT 2025","passed","Fri Aug 08 15:32:54 GMT 2025","Get entity","Exercises","",""
"","32","Create course","LMS Service","Fri Aug 08 15:32:52 GMT 2025","passed","Fri Aug 08 15:32:52 GMT 2025","Create entity","Courses","",""
"","291","Create exercise","LMS Service","Fri Aug 08 15:32:53 GMT 2025","passed","Fri Aug 08 15:32:53 GMT 2025","Create entity","Exercises","",""
"","13","Get user me","LMS Service","Fri Aug 08 15:33:00 GMT 2025","passed","Fri Aug 08 15:33:00 GMT 2025","Get entity","Users","",""
"","529","Create user","LMS Service","Fri Aug 08 15:32:58 GMT 2025","passed","Fri Aug 08 15:32:59 GMT 2025","Create entity","Users","",""
"","291","Delete exercises","LMS Service","Fri Aug 08 15:32:55 GMT 2025","passed","Fri Aug 08 15:32:55 GMT 2025","Delete entity","Exercises","",""
"","23","Delete file","LMS Service","Fri Aug 08 15:32:58 GMT 2025","passed","Fri Aug 08 15:32:58 GMT 2025","Delete entity","Files","",""
"","292","Update exercise","LMS Service","Fri Aug 08 15:32:54 GMT 2025","passed","Fri Aug 08 15:32:54 GMT 2025","Update entity","Exercises","",""
"","15","Get file","LMS Service","Fri Aug 08 15:32:57 GMT 2025","passed","Fri Aug 08 15:32:57 GMT 2025","Get entity","Files","",""
"","285","Login with correct email and password","LMS Service","Fri Aug 08 15:32:50 GMT 2025","passed","Fri Aug 08 15:32:51 GMT 2025","Login","Authentication","",""
"","269","Get file with incorrect file id","LMS Service","Fri Aug 08 15:32:59 GMT 2025","passed","Fri Aug 08 15:32:59 GMT 2025","Validate entity","Files","",""
"","292","Create user","LMS Service","Fri Aug 08 15:32:59 GMT 2025","passed","Fri Aug 08 15:32:59 GMT 2025","Create entity","Users","",""
"","17","Get exercises","LMS Service","Fri Aug 08 15:32:56 GMT 2025","passed","Fri Aug 08 15:32:56 GMT 2025","Get entities","Exercises","",""
